"270","-74.1303329","4.6213284","0.00","0.00","0.00","2022-11-21 18:46:39"
"271","-74.1303329","4.6213255","0.00","0.00","0.00","2022-11-21 18:46:58"
"272","-74.1303329","4.6213222","0.00","0.00","0.00","2022-11-21 18:47:18"
"273","-74.1303329","4.6213245","0.00","0.00","0.00","2022-11-21 18:47:40"
"274","-74.1303253","4.6213331","0.00","0.00","0.00","2022-11-21 18:48:00"
"275","-74.1303329","4.6213336","0.00","0.00","0.00","2022-11-21 18:48:20"
"276","-74.1303329","4.6213346","0.00","0.00","0.00","2022-11-21 18:48:40"
"277","-74.1303406","4.6213260","0.00","0.00","0.00","2022-11-21 18:49:01"
"278","-74.1303482","4.6213279","0.00","0.00","0.00","2022-11-21 18:49:21"
"279","-74.1303253","4.6213255","0.00","0.00","0.00","2022-11-21 18:49:41"
"280","-74.1303329","4.6213298","0.00","0.00","0.00","2022-11-21 18:50:01"
"281","-74.1303329","4.6213255","0.00","0.00","0.00","2022-11-21 18:50:21"
"282","-74.1303329","4.6213250","0.00","0.00","0.00","2022-11-21 18:50:41"
"283","-74.1303253","4.6213331","0.00","0.00","0.00","2022-11-21 18:51:01"
"284","-74.1303329","4.6213350","0.00","0.00","0.00","2022-11-21 18:51:23"
"285","-74.1303253","4.6213198","0.00","0.00","0.00","2022-11-21 18:51:42"
"286","-74.1303253","4.6213236","0.00","0.00","0.00","2022-11-21 18:52:02"
"287","-74.1303329","4.6213179","0.00","0.00","0.00","2022-11-21 18:52:23"
"288","-74.1303253","4.6213226","0.00","0.00","0.00","2022-11-21 18:52:42"
"289","-74.1303329","4.6213241","0.00","0.00","0.00","2022-11-21 18:54:14"
"290","-74.1303253","4.6213298","0.00","0.00","0.00","2022-11-21 18:54:34"
"291","-74.1303329","4.6213384","0.00","0.00","0.00","2022-11-21 18:54:53"
"292","-74.1303329","4.6213260","0.00","0.00","0.00","2022-11-21 18:55:14"
"293","-74.1303253","4.6213260","0.00","0.00","0.00","2022-11-21 18:55:35"
"294","-74.1303177","4.6213269","0.00","0.00","0.00","2022-11-21 18:55:55"
"295","-74.1303329","4.6213183","0.00","0.00","0.00","2022-11-21 18:56:15"
"296","-74.1303329","4.6213241","0.00","0.00","0.00","2022-11-21 18:56:35"
"297","-74.1303253","4.6213207","0.00","0.00","0.00","2022-11-21 18:56:55"
"298","-74.1303406","4.6213226","0.00","0.00","0.00","2022-11-21 18:57:15"
"299","-74.1303253","4.6213193","0.00","0.00","0.00","2022-11-21 18:57:36"
"300","-74.1303253","4.6213231","0.00","0.00","0.00","2022-11-21 18:57:55"
"301","-74.1303329","4.6213131","0.00","0.00","0.00","2022-11-21 18:58:16"
"302","-74.1303329","4.6213241","0.00","0.00","0.00","2022-11-21 18:58:38"
"303","-74.1303329","4.6213241","0.00","0.00","0.00","2022-11-21 18:58:57"
"304","-74.1303253","4.6213188","0.00","0.00","0.00","2022-11-21 18:59:21"
"305","-74.1303406","4.6213241","0.00","0.00","0.00","2022-11-21 18:59:40"
